"","av",""
"aamc1WSPD","93.9","1.1"
"aamc1GST","93.7","2.5"
"aamc1ATMP","98.8","16.8"
"aamc1PRES","98.9","1012.4"
"dpxc1WSPD","97.6","2.3"
"dpxc1GST","97.6","3.1"
"dpxc1ATMP","98.7","17"
"dpxc1PRES","98.7","1012.2"
"ftpc1WSPD","97.8","2.7"
"ftpc1GST","97.8","4.2"
"ftpc1ATMP","98.9","14.3"
"ftpc1PRES","99","1012.5"
"lndc1WSPD","92.5","1.9"
"lndc1GST","92.5","3"
"lndc1ATMP","93.6","16.6"
"lndc1PRES","93.6","1012.3"
"obxc1ATMP","95.7","16.2"
"okxc1WSPD","81.7","1.8"
"okxc1GST","81.7","2.5"
"okxc1ATMP","84.5","15.8"
"okxc1PRES","84.5","1012.4"
"omhc1WSPD","85.5","2.3"
"omhc1GST","85.5","2.7"
"pcoc1WSPD","88.5","5.8"
"pcoc1GST","88.5","7.2"
"pcoc1ATMP","93.3","18.5"
"pcoc1PRES","93.4","1011.5"
"ppxc1WSPD","95.2","1.4"
"ppxc1GST","95.2","2.3"
"ppxc1ATMP","96.6","17"
"ppxc1PRES","96.6","1012.8"
"psbc1WSPD","95.1","5"
"psbc1GST","95.1","7.2"
"psbc1ATMP","96.2","21"
"psbc1PRES","96.2","1010.9"
"pxoc1WSPD","84.7","1.3"
"pxoc1GST","84.7","1.7"
"pxoc1ATMP","87.8","16.5"
"pxoc1PRES","76.1","1011.2"
"pxsc1ATMP","96.9","16.8"
"rcmc1WSPD","93.9","1.4"
"rcmc1GST","93.9","1.8"
"rcmc1ATMP","98","16.6"
"rcmc1PRES","98","1012.1"
"rtyc1WSPD","96.1","1.5"
"rtyc1GST","95.7","2.3"
"rtyc1ATMP","97.6","17.9"
"rtyc1PRES","97.7","1012.7"
"tibc1WSPD","3.3","1"
"tibc1ATMP","3.3","15.9"
"tibc1PRES","3.3","1012.4"
"upbc1WSPD","41.2","5.6"
"upbc1GST","41.2","8.1"
