"lat","lon","RMSE","Variable","Methods"
36.926,-76.007,1.68152156106937,"WSPD","PLSR"
36.962,-76.424,1.55202019913852,"WSPD","PLSR"
37.165,-75.988,1.65564482487963,"WSPD","PLSR"
36.778,-76.302,1.04818672890984,"WSPD","PLSR"
36.977,-76.315,1.26694089459412,"WSPD","PLSR"
37.251,-76.342,1.27871915313777,"WSPD","PLSR"
37.227,-76.47,1.29968346956062,"WSPD","PLSR"
36.926,-76.007,1.72636044820326,"GST","PLSR"
36.962,-76.424,1.61071060936389,"GST","PLSR"
37.165,-75.988,1.8738638111856,"GST","PLSR"
36.778,-76.302,1.39887072831074,"GST","PLSR"
36.977,-76.315,1.39992804693827,"GST","PLSR"
37.251,-76.342,1.44775389842304,"GST","PLSR"
37.227,-76.47,1.47214891384619,"GST","PLSR"
36.926,-76.007,0.99077856501681,"ATMP","PLSR"
36.962,-76.424,0.704788020972484,"ATMP","PLSR"
36.778,-76.302,1.15254484070895,"ATMP","PLSR"
36.977,-76.315,0.688256584310058,"ATMP","PLSR"
37.251,-76.342,0.790286886311082,"ATMP","PLSR"
37.227,-76.47,0.793200244453266,"ATMP","PLSR"
36.962,-76.424,0.180492647596207,"PRES","PLSR"
36.778,-76.302,0.271837946165194,"PRES","PLSR"
36.943,-76.329,0.15367558340039,"PRES","PLSR"
36.977,-76.315,0.400169354495336,"PRES","PLSR"
37.251,-76.342,0.580323813991735,"PRES","PLSR"
37.227,-76.47,0.465735431628551,"PRES","PLSR"
36.926,-76.007,2.06060449637242,"WSPD","ClustAnEn"
36.962,-76.424,1.88071947557399,"WSPD","ClustAnEn"
37.165,-75.988,1.77497078261216,"WSPD","ClustAnEn"
36.778,-76.302,1.04694350671721,"WSPD","ClustAnEn"
36.977,-76.315,1.33868822867629,"WSPD","ClustAnEn"
37.251,-76.342,1.40715663677131,"WSPD","ClustAnEn"
37.227,-76.47,1.35405192281467,"WSPD","ClustAnEn"
36.926,-76.007,1.90189922284707,"GST","ClustAnEn"
36.962,-76.424,1.74636008174903,"GST","ClustAnEn"
37.165,-75.988,1.981093009625,"GST","ClustAnEn"
36.778,-76.302,1.43099191213129,"GST","ClustAnEn"
36.977,-76.315,1.44887832012622,"GST","ClustAnEn"
37.251,-76.342,1.56161490393315,"GST","ClustAnEn"
37.227,-76.47,1.50648133146413,"GST","ClustAnEn"
36.926,-76.007,1.02248331005498,"ATMP","ClustAnEn"
36.962,-76.424,0.779327529581059,"ATMP","ClustAnEn"
36.778,-76.302,1.41061591545431,"ATMP","ClustAnEn"
36.977,-76.315,0.736539949052898,"ATMP","ClustAnEn"
37.251,-76.342,1.03356499914098,"ATMP","ClustAnEn"
37.227,-76.47,0.823890325873717,"ATMP","ClustAnEn"
36.962,-76.424,0.289773693301877,"PRES","ClustAnEn"
36.778,-76.302,0.504046909872067,"PRES","ClustAnEn"
36.943,-76.329,0.309316583575102,"PRES","ClustAnEn"
36.977,-76.315,0.61301831256374,"PRES","ClustAnEn"
37.251,-76.342,1.02806756923523,"PRES","ClustAnEn"
37.227,-76.47,0.387273379371911,"PRES","ClustAnEn"
