"","lan","lon","RMSE","Variable","Methods"
"1",37.772,-122.3,0.865,"WSPD","PLSR"
"2",38.056,-122.264,1.482,"WSPD","PLSR"
"3",37.806,-122.466,1.34,"WSPD","PLSR"
"4",37.795,-122.281,0.787,"WSPD","PLSR"
"7",37.801,-122.33,1.265,"WSPD","PLSR"
"8",38.056,-122.039,1.757,"WSPD","PLSR"
"9",37.906,-122.365,1.854,"WSPD","PLSR"
"10",38.04,-121.887,1.571,"WSPD","PLSR"
"13",37.923,-122.41,1.256,"WSPD","PLSR"
"14",37.507,-122.212,1.171,"WSPD","PLSR"
"15",37.772,-122.3,0.999,"GST","PLSR"
"21",38.056,-122.264,1.728,"GST","PLSR"
"31",37.806,-122.466,1.654,"GST","PLSR"
"41",37.795,-122.281,0.94,"GST","PLSR"
"71",37.801,-122.33,1.337,"GST","PLSR"
"81",38.056,-122.039,1.862,"GST","PLSR"
"91",37.906,-122.365,2.073,"GST","PLSR"
"101",38.04,-121.887,1.956,"GST","PLSR"
"131",37.923,-122.41,1.464,"GST","PLSR"
"141",37.507,-122.212,1.41,"GST","PLSR"
"16",37.772,-122.3,0.342,"ATMP","PLSR"
"22",38.056,-122.264,0.627,"ATMP","PLSR"
"32",37.806,-122.466,0.614,"ATMP","PLSR"
"42",37.795,-122.281,0.358,"ATMP","PLSR"
"5",37.804,-122.341,0.349,"ATMP","PLSR"
"82",38.056,-122.039,0.8,"ATMP","PLSR"
"92",37.906,-122.365,0.532,"ATMP","PLSR"
"102",38.04,-121.887,1.198,"ATMP","PLSR"
"11",37.798,-122.393,0.245,"ATMP","PLSR"
"12",37.803,-122.397,0.228,"ATMP","PLSR"
"132",37.923,-122.41,0.447,"ATMP","PLSR"
"142",37.507,-122.212,0.915,"ATMP","PLSR"
"17",37.772,-122.3,0.153,"PRES","PLSR"
"23",38.056,-122.264,0.182,"PRES","PLSR"
"33",37.806,-122.466,0.404,"PRES","PLSR"
"43",37.795,-122.281,0.104,"PRES","PLSR"
"83",38.056,-122.039,0.257,"PRES","PLSR"
"93",37.906,-122.365,0.132,"PRES","PLSR"
"103",38.04,-121.887,0.369,"PRES","PLSR"
"133",37.923,-122.41,0.316,"PRES","PLSR"
"143",37.507,-122.212,0.559,"PRES","PLSR"
"18",37.772,-122.3,1.031,"WSPD","ClustAnEn"
"24",38.056,-122.264,1.529,"WSPD","ClustAnEn"
"34",37.806,-122.466,1.399,"WSPD","ClustAnEn"
"44",37.795,-122.281,0.906,"WSPD","ClustAnEn"
"72",37.801,-122.33,1.37,"WSPD","ClustAnEn"
"84",38.056,-122.039,2.249,"WSPD","ClustAnEn"
"94",37.906,-122.365,1.98,"WSPD","ClustAnEn"
"104",38.04,-121.887,1.79,"WSPD","ClustAnEn"
"134",37.923,-122.41,1.303,"WSPD","ClustAnEn"
"144",37.507,-122.212,1.227,"WSPD","ClustAnEn"
"151",37.772,-122.3,1.196,"GST","ClustAnEn"
"211",38.056,-122.264,1.797,"GST","ClustAnEn"
"311",37.806,-122.466,1.718,"GST","ClustAnEn"
"411",37.795,-122.281,1.113,"GST","ClustAnEn"
"711",37.801,-122.33,1.481,"GST","ClustAnEn"
"811",38.056,-122.039,2.473,"GST","ClustAnEn"
"911",37.906,-122.365,2.309,"GST","ClustAnEn"
"1011",38.04,-121.887,2.46,"GST","ClustAnEn"
"1311",37.923,-122.41,1.535,"GST","ClustAnEn"
"1411",37.507,-122.212,1.477,"GST","ClustAnEn"
"161",37.772,-122.3,0.491,"ATMP","ClustAnEn"
"221",38.056,-122.264,0.876,"ATMP","ClustAnEn"
"321",37.806,-122.466,0.98,"ATMP","ClustAnEn"
"421",37.795,-122.281,0.476,"ATMP","ClustAnEn"
"51",37.804,-122.341,0.51,"ATMP","ClustAnEn"
"821",38.056,-122.039,1.46,"ATMP","ClustAnEn"
"921",37.906,-122.365,0.664,"ATMP","ClustAnEn"
"1021",38.04,-121.887,2.204,"ATMP","ClustAnEn"
"111",37.798,-122.393,0.669,"ATMP","ClustAnEn"
"121",37.803,-122.397,0.71,"ATMP","ClustAnEn"
"1321",37.923,-122.41,0.558,"ATMP","ClustAnEn"
"1421",37.507,-122.212,1.227,"ATMP","ClustAnEn"
"171",37.772,-122.3,0.417,"PRES","ClustAnEn"
"231",38.056,-122.264,0.376,"PRES","ClustAnEn"
"331",37.806,-122.466,0.49,"PRES","ClustAnEn"
"431",37.795,-122.281,0.372,"PRES","ClustAnEn"
"831",38.056,-122.039,0.604,"PRES","ClustAnEn"
"931",37.906,-122.365,0.29,"PRES","ClustAnEn"
"1031",38.04,-121.887,0.92,"PRES","ClustAnEn"
"1331",37.923,-122.41,0.402,"PRES","ClustAnEn"
"1431",37.507,-122.212,0.744,"PRES","ClustAnEn"
